name,category_list,market,status,country_code,city,Cluster,SubCluster,SubCluster_Name,funding_total_usd,funding_rounds,early_stage_funding,venture,debt_financing,private_equity,stage_level,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio
Learnhive,|Education|, Education ,operating,IND,Bangalore,0,2,Small seed-stage,400000.0,1.0,400000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Learning Hyperdrive,|Education|, Education ,operating,USA,Providence,0,2,Small seed-stage,16000.0,1.0,16000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Learnmetrics,|Analytics|Big Data|Education|, Analytics ,operating,USA,Chicago,0,0,Early-stage multi-round,150000.0,2.0,150000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LearnSprout,|Predictive Analytics|Analytics|Big Data|Education|, Predictive Analytics ,operating,USA,San Francisco,0,1,Small / early venture-backed,4700000.0,2.0,500000.0,4200000.0,0.0,0.0,1,0.10638297872340426,0.8936170212765957,0.0,0.0
LearnStreet,|Education|, Education ,operating,USA,San Francisco,0,1,Small / early venture-backed,1000000.0,1.0,0.0,1000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LearnUp,|Curated Web|, Curated Web ,operating,USA,San Francisco,0,2,Small seed-stage,1900000.0,1.0,1900000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LearnUpon,|Education|Systems|Software|, Software ,operating,IRL,Dublin,0,0,Early-stage multi-round,707630.0,2.0,707630.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LearnZillion,|Technology|Education|, Technology ,operating,USA,Washington,0,1,Small / early venture-backed,9400000.0,2.0,2400000.0,7000000.0,0.0,0.0,1,0.2553191489361702,0.7446808510638298,0.0,0.0
Leatt,|Manufacturing|, Manufacturing ,operating,USA,Santa Clarita,0,1,Small / early venture-backed,846668.0,1.0,0.0,846668.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Lectorati,|E-Books|Social Network Media|, E-Books ,operating,CHL,Santiago,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LectureTools,|Technology|Colleges|Education|, Education ,operating,USA,Ann Arbor,0,2,Small seed-stage,1000000.0,1.0,1000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lecturio,|Education|, Education ,operating,DEU,Leipzig,0,1,Small / early venture-backed,3859800.0,1.0,0.0,3859800.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LED Light Sense,|Electronics|Technology|Lighting|, Electronics ,operating,GBR,Colchester,0,1,Small / early venture-backed,1948937.0,1.0,0.0,1948937.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LED Roadway Lighting,|Manufacturing|, Manufacturing ,operating,CAN,Halifax,0,1,Small / early venture-backed,13500000.0,2.0,0.0,13500000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Ledbury,|Mens Specific|Shopping|Retail|, Shopping ,operating,USA,Richmond,0,1,Small / early venture-backed,8462816.0,2.0,0.0,8462816.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LedgerPal Inc.,|Billing|Accounting|E-Commerce|, Accounting ,operating,,,0,2,Small seed-stage,250000.0,1.0,250000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LedgerX,|Finance Technology|Bitcoin|Virtual Currency|, Finance Technology ,operating,USA,New York,0,0,Early-stage multi-round,1500000.0,2.0,1500000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
"LEDnovation, Inc.",|Clean Technology|, Clean Technology ,operating,USA,Tampa,0,1,Small / early venture-backed,3000000.0,1.0,0.0,3000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Ledzworld,|Hardware + Software|, Hardware + Software ,operating,NLD,Eindhoven,0,1,Small / early venture-backed,5000000.0,1.0,0.0,5000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
leemail,|Messaging|, Messaging ,operating,GBR,London,0,2,Small seed-stage,77618.0,1.0,77618.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leevia,|Social Media Marketing|Social Activists|Photography|Photo Sharing|, Social Media Marketing ,operating,ITA,Trento,0,0,Early-stage multi-round,363925.0,3.0,363925.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeftRight Studios,|Android|iPhone|Mobile|Mobile Games|Games|, Mobile Games ,operating,USA,Pittsburgh,0,2,Small seed-stage,25000.0,1.0,25000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leftronic,|Business Analytics|Business Intelligence|Analytics|, Business Intelligence ,acquired,USA,San Francisco,0,0,Early-stage multi-round,500000.0,2.0,500000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Legal Hero,|Technology|Legal|, Technology ,operating,USA,New York,0,2,Small seed-stage,715000.0,1.0,715000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
"LegalCrunch, Inc.",|Apps|Education|Law Enforcement|Legal|, Law Enforcement ,operating,USA,Los Angeles,0,2,Small seed-stage,20000.0,2.0,20000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LegalFácil,|Legal|, Legal ,operating,ARG,Buenos Aires,0,2,Small seed-stage,40000.0,1.0,40000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LegalGuru,|Legal|, Legal ,operating,USA,Miami,0,2,Small seed-stage,900000.0,1.0,900000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
legalPAD,|Business Intelligence|Legal|, Business Intelligence ,operating,ITA,Roncade,0,2,Small seed-stage,20275.0,1.0,20275.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LegalReach,|Legal|, Legal ,operating,USA,San Francisco,0,2,Small seed-stage,900000.0,1.0,900000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LegalSherpa,|Identity|Legal|, Identity ,operating,USA,New York,0,2,Small seed-stage,50000.0,1.0,50000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Legend Power Systems,|Clean Technology|, Clean Technology ,operating,TUR,Çan,0,1,Small / early venture-backed,139108.0,1.0,0.0,139108.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Legendary Pictures,|Games|, Games ,operating,USA,Burbank,0,1,Small / early venture-backed,40000000.0,1.0,0.0,40000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LegitTrader,|Finance|, Finance ,operating,USA,San Francisco,0,2,Small seed-stage,25000.0,1.0,25000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LegUP,|Analytics|Sports|, Analytics ,operating,USA,Seattle,0,2,Small seed-stage,60000.0,1.0,60000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leho,|E-Commerce|, E-Commerce ,operating,CHN,Beijing,0,1,Small / early venture-backed,50000000.0,1.0,0.0,50000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LEID Products,|Hardware + Software|, Hardware + Software ,operating,USA,Auburn Hills,0,1,Small / early venture-backed,375000.0,1.0,0.0,375000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Leido Technology,|Information Technology|, Information Technology ,operating,,,0,2,Small seed-stage,41250.0,1.0,41250.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Leinentausch,|Consumer Goods|Veterinary|Pets|, Veterinary ,operating,,,0,2,Small seed-stage,34623.0,1.0,34623.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lela,|Big Data Analytics|Advertising|E-Commerce|, Big Data Analytics ,operating,USA,New York,0,2,Small seed-stage,12000000.0,1.0,12000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
