name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,SubCluster
I.Predictus,|Analytics|, Analytics ,3500000.0,operating,USA,Parsippany,1.0,2011-01-01,2013-06-26,2013-06-26,3500000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,15.068273812173887,0.6931471805599453,0.0,15.068273812173887,0.0,0.0,1
i.Sec,|Finance|, Finance ,10000000.0,operating,NGA,Lagos,1.0,2013-01-01,2014-03-17,2014-03-17,10000000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,16.118095750958314,0.6931471805599453,0.0,16.118095750958314,0.0,0.0,1
i2 Telecom IP Holdings,|Mobile|, Mobile ,5508855.0,operating,USA,Roswell,1.0,,2009-08-14,2009-08-14,5508855.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,15.521867537068024,0.6931471805599453,0.0,15.521867537068024,0.0,0.0,1
I2C Technologies,|Security|, Security ,2250000.0,operating,USA,Clyde,1.0,2005-01-01,2009-12-29,2009-12-29,2250000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,14.626441218624949,0.6931471805599453,0.0,14.626441218624949,0.0,0.0,1
i2i Logic,|Financial Services|, Financial Services ,41250.0,operating,HKG,Hong Kong,1.0,2013-01-01,2014-07-01,2014-07-01,0.0,0.0,0.0,0,41250.0,1.0,0.0,0.0,0.0,10.627430633893226,0.6931471805599453,10.627430633893226,0.0,0.0,0.0,2
"i2i, Inc.",|Application Platforms|Video|Photography|Photo Sharing|Internet of Things|Consumer Electronics|, Photo Sharing ,250000.0,operating,USA,Dallas,3.0,2012-08-24,2014-01-02,2014-09-01,0.0,0.0,0.0,0,150000.0,0.6,0.0,0.0,0.0,12.429220196836383,1.3862943611198906,11.918397239722838,0.0,0.0,0.0,0
i2we,|Social Media|, Social Media ,750000.0,closed,USA,Berkeley,1.0,2007-01-01,2008-06-01,2008-06-01,750000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,13.527829818844937,0.6931471805599453,0.0,13.527829818844937,0.0,0.0,1
i4.ms,|Big Data|Cloud Data Services|Enterprise Software|, Cloud Data Services ,35000.0,operating,NOR,Oslo,1.0,,2012-12-01,2012-12-01,0.0,0.0,0.0,0,35000.0,1.0,0.0,0.0,0.0,10.463131911491967,0.6931471805599453,10.463131911491967,0.0,0.0,0.0,2
i7 Networks,|Security|, Security ,300000.0,operating,IND,Bangalore,1.0,2012-06-20,2012-08-20,2012-08-20,0.0,0.0,0.0,0,300000.0,1.0,0.0,0.0,0.0,12.611541086966115,0.6931471805599453,12.611541086966115,0.0,0.0,0.0,2
IActive,|Artificial Intelligence|Business Development|Software|, Software ,4752585.0,operating,USA,Sunnyvale,2.0,2007-01-01,2010-02-01,2011-02-01,4126500.0,0.0,0.0,1,626085.0,0.1317356764792213,0.8682643235207786,0.0,0.0,15.37419944892008,1.0986122886681098,13.347243020838134,15.232940390350967,0.0,0.0,1
